,CURB65评分,重度肺炎,性别,年龄,共存基础病数量,吸烟史,饮酒史,高血压病,糖尿病,脑梗死,冠心病,体温＞37℃,呼吸频率＞20次/分,心率＞100次/分,收缩压＜90mmHg,纵隔淋巴结肿大,胸膜增厚,胸腔积液,心包积液,炎症累及肺炎数≥3,炎症累计双肺,WBC,PLT,HGB,MONO,NEUT,PLR,NLR,RDW,FIB,DDimer,AG,ALB,hsCRP,PCT,Cr,BUN,UA,GFR,Cysc
冠心病,0.04949558849409096,0.11127586485003974,0.007897375881644715,0.10861364790797172,0.41490213020920386,0.061920583207999993,0.009351404700446812,-0.022132243419389946,-0.05944374273057884,0.04893745895087979,1.0,0.07276053988917128,0.1816043582218511,-0.06725577979012795,0.0026395593576907976,0.012060807512314758,0.09914751376623919,-0.05631646737188436,-0.08812911042156629,0.0879553755375879,0.1196032113432738,0.04848155579962227,0.027524894933675177,-0.02169587840244675,0.059492029752731566,-0.05624105121980264,-0.01923333986524195,-0.06565865394080171,0.11515899699444647,-0.003714152500994226,-0.014724148381418521,-0.0669277796926083,-0.027988689340321973,0.005173134544966535,0.023611331080950454,-0.08356627049111065,-0.0982915075279222,-0.030840046337447233,0.0704342399954816,-0.044701725140878154
体温＞37℃,0.024232570612708056,0.041765738507374535,0.010268177200453225,-0.01584626512692827,0.10890904268366795,-0.009325169955757745,-0.007018880916698438,0.02342149533758344,0.040598103444654886,0.08512522327911819,0.07276053988917128,1.0,0.016746254988629434,0.17316845421071092,-0.06843320729521275,0.011518814539002886,-0.05389366060050135,-0.04309817637034461,-0.16881936749128804,0.057528785286574895,0.02867912653383822,0.0662948643675817,-0.04342375292814325,-0.0642406930474227,0.07638713382129973,0.023912543210643344,0.04837540618225691,0.0928979194038811,0.012172860981643982,0.06226025795417831,0.08574655045521455,-0.09138128945319939,-0.1322261136359626,0.1522213260248255,0.10647819419799015,-0.042871623120302196,-0.10794534909203499,-0.024646686909582716,0.052473258860071925,0.08250262561957826
呼吸频率＞20次/分,0.1648763189308457,0.1619081347878399,0.12087214835621844,-0.07985022596374994,0.06646597634760651,0.04474144573581087,0.0513293598855195,-0.04958026248940764,-0.020869496882564058,0.04479696321275212,0.1816043582218511,0.016746254988629434,1.0,0.09512735251191942,0.12610499512582551,0.02095777264704503,0.08575278349447818,-0.025409974191915652,-0.03281704195850867,0.06768332218445783,0.06843408408284826,0.12068831761137239,0.03365952274196034,-0.02453194612227007,0.012501785178390958,-0.026926378419732003,0.13324256617835897,0.05000603959372221,0.253983672300387,0.06534133342171475,0.16546580155389487,-0.18247181447795457,-0.17069893221487203,0.13254878972723103,0.10460994931411767,0.05721893593378958,0.017203368625119855,-0.07570450959129907,0.01666877718341008,0.074956947026131
心率＞100次/分,0.042893514149609575,0.12041327425936277,0.04838803434520411,-0.07422310326619797,-0.09205828077707412,0.03483550751805084,0.02812193080333061,-0.03256166556699182,-0.08883229476018817,0.01660227700300901,-0.06725577979012795,0.17316845421071092,0.09512735251191942,1.0,-0.015682978864769537,0.011214762473778346,0.002354951899846201,-0.05102482143838898,-0.014430918928041195,0.06773025737500504,0.021375717244757824,0.2769140542949227,0.04846632997112287,0.08245613489738819,0.05784727096777043,0.2462344578720876,0.12110244560828935,0.22182932663008237,0.03149096354866121,0.07062634596162588,0.06757651297436539,-0.12232765653440875,-0.04829281726987312,0.23777425863486298,0.16703918070743487,0.027743291403052428,0.026880363853827777,-0.011396663604340013,0.011108798650867363,0.12006852113131132
收缩压＜90mmHg,0.3441735775525038,0.302099427711609,0.02095116731761599,0.0218853320912539,0.12387534827858189,0.029817775091786108,-0.015136558897790354,0.0011694145582490125,0.09475272139344265,0.11219110001575651,0.0026395593576907976,-0.06843320729521275,0.12610499512582551,-0.015682978864769537,1.0,0.08663894924094649,-0.033477653541607484,0.0454792548214025,0.00570285200595138,0.1175290727550622,0.005895435843805092,0.1485858309396046,0.035191111566995656,-0.024829790926237508,0.0832923973845131,0.07486129430149048,0.15072578949469626,0.06803735174709312,0.1737759894643851,0.05178241881257783,0.2017800455404446,-0.12057012347625086,-0.0820219799342598,0.22311289787644362,0.20204452366619421,0.02374972011105895,-0.10182445925719023,0.008496409924966208,0.03405232470976825,-0.155679145165646
纵隔淋巴结肿大,0.1427672229514883,0.08386386200832524,-0.00304197230849799,0.07366066415241937,-0.04332670435350675,0.047675463743817176,0.06589790262305253,-0.06829076162838447,-0.05373924650597815,0.03103603779904585,0.012060807512314758,0.011518814539002886,0.02095777264704503,0.011214762473778346,0.08663894924094649,1.0,0.10809448250773927,0.11521222600679239,0.08056007861980291,0.11697157443893663,0.055744592632090334,0.10491101082044275,0.10707280867706936,-0.04940929663249231,-0.007891164141759227,-0.006187910288708279,0.06148159108318498,-0.03934141249114156,0.13122241666378417,-0.020040398053066438,0.14346381857545418,-0.09532918519396283,-0.08850670226883607,0.07669630715282368,0.04768806409104037,0.025376278488177178,-0.05427322366183095,-0.037752320190881,-0.06568294373125512,0.001021872768282108
胸膜增厚,0.1392075685734177,0.09303374678187835,0.1044968717027922,0.17716697092047978,-0.06799164638198582,0.0990581340681725,0.026836456077519586,-0.06950772350004447,-0.13795257377622536,-0.02329753183660545,0.09914751376623919,-0.05389366060050135,0.08575278349447818,0.002354951899846201,-0.033477653541607484,0.10809448250773927,1.0,0.0032539017258569718,-0.08638752833650681,-0.02545335200008831,0.1341991341991342,-0.06602375340167801,0.05096424407701448,-0.0011008275093903732,0.014236606938756837,-0.0632037569839965,0.07193797330648737,-0.030673366583845924,0.10916788221196567,-0.05343951761954736,0.03019336637991397,0.013137672289533376,0.016712683555706515,-0.06265379098846736,0.004470474638807673,-0.05123733747618376,-0.0546770061728073,-0.03548800424792358,0.055982659582392576,0.10839029699736276
胸腔积液,0.10535133107082298,0.08587764142510028,0.017235625870177382,0.06162327285949729,0.020852443363380584,0.013403057409958029,0.0909999566726953,-0.018850603109534698,0.08619828314882866,-0.04142926267655051,-0.05631646737188436,-0.04309817637034461,-0.025409974191915652,-0.05102482143838898,0.0454792548214025,0.11521222600679239,0.0032539017258569718,1.0,0.16153172532855656,0.09488564870808422,-0.025688697835712933,0.03177859051839758,0.044731349786943896,-0.12253709863720301,-0.030364291708979838,-0.011046284590413291,0.03156074993925607,-0.01969826445486402,0.03662906472641164,-0.07672792084949799,0.24150555324138825,0.03200038402603972,-0.13631399739608996,0.04032180748995309,0.05942315741206799,-0.047831275581379805,0.0722106622434562,0.00282961940631108,0.02541199781385342,-0.10431556457427003
心包积液,0.049712259230093446,0.036338469306953954,0.05519227248349594,-0.02965227982250417,0.011056281172004552,0.01722193193146699,0.00934193506751066,0.011840503095555633,0.09781735615900933,0.00018375697724707128,-0.08812911042156629,-0.16881936749128804,-0.03281704195850867,-0.014430918928041195,0.00570285200595138,0.08056007861980291,-0.08638752833650681,0.16153172532855656,1.0,0.03678426805982634,0.08638752833650681,0.007615511448704164,-0.022847502423962593,-0.025267106726533664,-0.09878412880251068,-0.0004383012086837517,-0.010409632868928253,-0.0019175642694095345,-0.0032331456408450977,0.04563959795240085,0.028326496163756387,0.021370021661441377,-0.03802372717131016,0.05517136711399348,0.004273563678955363,0.07352551835380472,0.03429787628849198,0.010902855327193253,-0.03763926698373299,-0.0027394255095184463
炎症累及肺炎数≥3,0.295101664049835,0.4700466381647041,-0.013519452069843205,0.07478821152263684,0.15448195247921176,0.03770038857158672,0.030089420916613156,0.060551603577297254,0.09752958291536012,0.04833878127600002,0.0879553755375879,0.057528785286574895,0.06768332218445783,0.06773025737500504,0.1175290727550622,0.11697157443893663,-0.02545335200008831,0.09488564870808422,0.03678426805982634,1.0,0.17507337625701766,0.17491877045800183,-0.07123549925467691,-0.039053200236686625,0.06755273324157587,0.2552228650741928,0.2649688101259484,0.34408105774972064,0.25937254695762335,0.06900521711075847,0.25590839230336765,-0.18261513537391066,-0.1801594661179852,0.4300907290218089,0.422428936502396,-0.021774186183721022,0.04043845566072258,0.031106094418843093,-0.03779366514711385,0.01389412967514248
