,CURB65评分,重度肺炎,性别,年龄,共存基础病数量,吸烟史,饮酒史,高血压病,糖尿病,脑梗死,冠心病,体温＞37℃,呼吸频率＞20次/分,心率＞100次/分,收缩压＜90mmHg,纵隔淋巴结肿大,胸膜增厚,胸腔积液,心包积液,炎症累及肺炎数≥3,炎症累计双肺,WBC,PLT,HGB,MONO,NEUT,PLR,NLR,RDW,FIB,DDimer,AG,ALB,hsCRP,PCT,Cr,BUN,UA,GFR,Cysc
DDimer,0.3973240280295693,0.5432250060639081,0.05521880283468576,0.10430588192982175,0.11711180347399966,0.09586329903548443,0.11888130966437671,-0.006598094668020557,0.04697705473370933,0.1808200903299626,-0.014724148381418521,0.08574655045521455,0.16546580155389487,0.06757651297436539,0.2017800455404446,0.14346381857545418,0.03019336637991397,0.24150555324138825,0.028326496163756387,0.25590839230336765,0.0925058719384608,0.3035698529853436,0.11304381481526812,-0.14601892871319225,0.04885471556175676,0.23497400235904742,0.3107428281100203,0.2691056428009945,0.2689188271295758,0.08897021386917922,1.0,-0.33231371371868607,-0.4214495841149218,0.4115590865514954,0.4466791974111363,-0.023401668917483194,0.08459298418874706,0.13379075538642052,-0.001561430531929957,-0.03496427436779555
AG,-0.17397607167073098,-0.34795343170014,-0.06964112156384795,0.001606597626645123,-0.09084842088412118,-0.0846952097045475,-0.10369880852758391,0.00645975320666613,-0.03236829752285016,-0.07564762021423885,-0.0669277796926083,-0.09138128945319939,-0.18247181447795457,-0.12232765653440875,-0.12057012347625086,-0.09532918519396283,0.013137672289533376,0.03200038402603972,0.021370021661441377,-0.18261513537391066,-0.020979005488521885,-0.2174094693116483,-0.22695982517711266,0.33951062905595486,-0.07395108491655018,-0.18287665063605144,-0.3136228939538343,-0.18172099557875257,-0.27026064229717855,-0.2987835626009817,-0.33231371371868607,1.0,0.6885106369054194,-0.38423318382799715,-0.28927376066034016,0.10132513433197857,0.011252680100976449,-0.06466748130716492,-0.10793282947750318,-0.04718724443882157
ALB,-0.20578087270706333,-0.3944360916835555,-0.09284517790052534,0.007816538391776809,-0.03295032858458008,-0.021940546103260822,-0.1001768257024712,0.07882857911912061,0.009321938725885943,-0.10972162540081135,-0.027988689340321973,-0.1322261136359626,-0.17069893221487203,-0.04829281726987312,-0.0820219799342598,-0.08850670226883607,0.016712683555706515,-0.13631399739608996,-0.03802372717131016,-0.1801594661179852,-0.11251831397998295,-0.1085945141332169,-0.03792405147474057,0.326285644423267,-0.031698369040566034,-0.09714769485038877,-0.24670117651898552,-0.17335931664400342,-0.2516119922994787,-0.16233336614266136,-0.4214495841149218,0.6885106369054194,1.0,-0.31490675872929164,-0.27936054818744455,0.04124305520079382,-0.10607435102154913,-0.13185548306615602,-0.07411118773997391,-0.012554276557504703
hsCRP,0.310804231904651,0.5563786244452723,0.10236651611602547,0.004796474815745088,0.03559741961188306,0.1840293842505721,0.058470837421824844,0.007986835465312137,0.005603496173926601,-0.006303154375077975,0.005173134544966535,0.1522213260248255,0.13254878972723103,0.23777425863486298,0.22311289787644362,0.07669630715282368,-0.06265379098846736,0.04032180748995309,0.05517136711399348,0.4300907290218089,0.133423001665891,0.38361590817571495,0.11411644017250663,-0.1084845163958849,0.21916290431712268,0.4095804413737117,0.40950338861682567,0.48572568133682115,0.30436191288551273,0.34516057099931374,0.4115590865514954,-0.38423318382799715,-0.31490675872929164,1.0,0.8264831105734894,0.06890411854698222,0.12017929367541952,0.12862048131356468,-0.06614568876244123,0.08351018453290907
PCT,0.4102338577140474,0.6587689762463281,0.11522387630598219,0.10084724741156424,0.06635732386987378,0.13682094951930024,0.07610005553267508,0.008403758616148461,0.03608326482832764,0.010481099211485713,0.023611331080950454,0.10647819419799015,0.10460994931411767,0.16703918070743487,0.20204452366619421,0.04768806409104037,0.004470474638807673,0.05942315741206799,0.004273563678955363,0.422428936502396,0.08830906824967771,0.44330528934547964,0.1210729647976476,-0.11249601905405461,0.19550057478581284,0.47563398534969015,0.4297811777760641,0.5206759184262234,0.3100015566734981,0.33808763976664147,0.4466791974111363,-0.28927376066034016,-0.27936054818744455,0.8264831105734894,1.0,0.09008370897428879,0.17816160504029524,0.15684792776649062,-0.09895962967241721,0.11198266552950241
Cr,-0.11179309695979137,0.05534013231236111,0.02857111646855597,-0.3008661360042849,-0.20047676463654243,0.11180203125735286,0.11364586593133442,-0.02514124451978916,-0.19209052038385016,-0.022354277405326337,-0.08356627049111065,-0.042871623120302196,0.05721893593378958,0.027743291403052428,0.02374972011105895,0.025376278488177178,-0.05123733747618376,-0.047831275581379805,0.07352551835380472,-0.021774186183721022,0.09119558321264384,0.01627411115359205,-0.12987927907755298,-0.09695587767457117,-0.006737689038333285,0.024380467068604535,0.042473022319384886,0.07074217538913456,-0.04782608212777911,0.11152038943013454,-0.023401668917483194,0.10132513433197857,0.04124305520079382,0.06890411854698222,0.09008370897428879,1.0,0.5171509706858697,0.19567180721222546,-0.8825102164697957,0.25265886462718357
BUN,-0.014729748895725548,0.10569799627362961,0.05084599471954197,-0.12083978755227763,-0.17915202953429238,0.039267216351432585,0.08942776186549298,-0.03292030576297397,-0.12432676628532557,-0.0993132991108716,-0.0982915075279222,-0.10794534909203499,0.017203368625119855,0.026880363853827777,-0.10182445925719023,-0.05427322366183095,-0.0546770061728073,0.0722106622434562,0.03429787628849198,0.04043845566072258,0.07881742021891468,0.12410180105153718,-0.06084014347644696,-0.22791324088483567,0.011330651780284251,0.1873513364168577,0.045411014367709765,0.1828234691816643,0.018079032819723388,0.23136621769497812,0.08459298418874706,0.011252680100976449,-0.10607435102154913,0.12017929367541952,0.17816160504029524,0.5171509706858697,1.0,0.426654844943169,-0.4697760480977529,0.2407573329439293
UA,0.038152181797024745,0.09882202751086924,0.0583914577841667,-0.0501914337156241,-0.04552062291635023,0.07279205273611432,0.12217333702327769,-0.06486742695636286,-0.03990553808867416,0.03767259263623865,-0.030840046337447233,-0.024646686909582716,-0.07570450959129907,-0.011396663604340013,0.008496409924966208,-0.037752320190881,-0.03548800424792358,0.00282961940631108,0.010902855327193253,0.031106094418843093,0.07283293895068038,0.10445085453850493,0.021919071957061654,-0.13293686084307108,-0.02835144542363966,0.1870342580657373,0.10296279343969529,0.18223988436559552,0.0023987709794318166,0.1867484099742638,0.13379075538642052,-0.06466748130716492,-0.13185548306615602,0.12862048131356468,0.15684792776649062,0.19567180721222546,0.426654844943169,1.0,-0.16443392109909608,-0.05891978203286073
GFR,0.02308859331626642,-0.0591782651152615,0.21436086454204392,0.0729462591858444,0.1820195621682504,-0.006920327343287088,-0.027085764606894772,-0.014654111699247668,0.18119722644994107,0.05819425864543575,0.0704342399954816,0.052473258860071925,0.01666877718341008,0.011108798650867363,0.03405232470976825,-0.06568294373125512,0.055982659582392576,0.02541199781385342,-0.03763926698373299,-0.03779366514711385,-0.11760484998266746,-0.03824595245975359,0.10278008275995945,0.08467222975859971,-5.671721116209907e-06,-0.05192672818066114,-0.027829517184267828,-0.06573396710753032,0.059685254865757445,-0.08138052733953181,-0.001561430531929957,-0.10793282947750318,-0.07411118773997391,-0.06614568876244123,-0.09895962967241721,-0.8825102164697957,-0.4697760480977529,-0.16443392109909608,1.0,-0.258319209716878
Cysc,0.12950151252494568,0.09842153597026092,-0.006765534788751405,-0.0033504968858709024,-0.1446194436199518,-0.15353053642164677,-0.12833643088245478,0.03576756232489242,-0.17790004792295655,-0.027338428139777687,-0.044701725140878154,0.08250262561957826,0.074956947026131,0.12006852113131132,-0.155679145165646,0.001021872768282108,0.10839029699736276,-0.10431556457427003,-0.0027394255095184463,0.01389412967514248,0.10790886801323742,-6.889439673860746e-05,-0.053446133667410176,-0.01721750521417564,0.03799547024410377,0.03996594327750865,0.07110562036077059,0.11790668949373277,0.10995479605884793,-0.15640363541585772,-0.03496427436779555,-0.04718724443882157,-0.012554276557504703,0.08351018453290907,0.11198266552950241,0.25265886462718357,0.2407573329439293,-0.05891978203286073,-0.258319209716878,1.0
